gene1,gene2
AARS2,ACAD9
AARS2,ATP5ME
AARS2,BCS1L
AARS2,C1QBP
AARS2,CARS2
AARS2,COA3
AARS2,COA6
AARS2,COA7
AARS2,COQ4
AARS2,COQ7
AARS2,COX10
AARS2,COX15
AARS2,COX16
AARS2,COX4I1
AARS2,COX5B
AARS2,COX6B1
AARS2,COX6C
AARS2,CYC1
AARS2,DAP3
AARS2,DARS2
AARS2,DDX28
AARS2,EARS2
AARS2,ERAL1
AARS2,FARS2
AARS2,FASTKD5
AARS2,FOXRED1
AARS2,GADD45GIP1
AARS2,GATB
AARS2,GATC
AARS2,GFM1
AARS2,GFM2
AARS2,GRSF1
AARS2,GTPBP10
AARS2,GTPBP8
AARS2,HARS2
AARS2,HCCS
AARS2,HSD17B10
AARS2,IBA57
AARS2,LARS2
AARS2,LRPPRC
AARS2,MALSU1
AARS2,MARS2
AARS2,MCAT
AARS2,METTL17
AARS2,MIPEP
AARS2,MRM2
AARS2,MRM3
AARS2,MRPL10
AARS2,MRPL12
AARS2,MRPL13
AARS2,MRPL14
AARS2,MRPL15
AARS2,MRPL16
AARS2,MRPL17
AARS2,MRPL18
AARS2,MRPL19
AARS2,MRPL2
AARS2,MRPL20
AARS2,MRPL21
AARS2,MRPL22
AARS2,MRPL23
AARS2,MRPL24
AARS2,MRPL28
AARS2,MRPL3
AARS2,MRPL32
AARS2,MRPL33
AARS2,MRPL34
AARS2,MRPL35
AARS2,MRPL37
AARS2,MRPL38
AARS2,MRPL39
AARS2,MRPL4
AARS2,MRPL40
AARS2,MRPL41
AARS2,MRPL43
AARS2,MRPL44
AARS2,MRPL46
AARS2,MRPL47
AARS2,MRPL48
AARS2,MRPL49
AARS2,MRPL51
AARS2,MRPL53
AARS2,MRPL55
AARS2,MRPL57
AARS2,MRPL9
AARS2,MRPS10
AARS2,MRPS11
AARS2,MRPS12
AARS2,MRPS14
AARS2,MRPS16
AARS2,MRPS17
AARS2,MRPS18A
AARS2,MRPS18B
AARS2,MRPS18C
AARS2,MRPS2
AARS2,MRPS22
AARS2,MRPS23
AARS2,MRPS24
AARS2,MRPS25
AARS2,MRPS26
AARS2,MRPS27
AARS2,MRPS28
AARS2,MRPS34
AARS2,MRPS35
AARS2,MRPS5
AARS2,MRPS6
AARS2,MRPS7
AARS2,MRPS9
AARS2,MTERF4
AARS2,MTG1
AARS2,MTG2
AARS2,MTPAP
AARS2,NARS2
AARS2,NDUFA1
AARS2,NDUFA10
AARS2,NDUFA2
AARS2,NDUFA8
AARS2,NDUFAF1
AARS2,NDUFAF3
AARS2,NDUFAF7
AARS2,NDUFB10
AARS2,NDUFB11
AARS2,NDUFB2
AARS2,NDUFB7
AARS2,NDUFB8
AARS2,NDUFC1
AARS2,NDUFC2
AARS2,NDUFS1
AARS2,NDUFS2
AARS2,NDUFS8
AARS2,NDUFV2
AARS2,NGRN
AARS2,NSUN4
AARS2,PARS2
AARS2,PDSS2
AARS2,PET117
AARS2,PNPT1
AARS2,POLG
AARS2,POLG2
AARS2,POLRMT
AARS2,PPA2
AARS2,PRORP
AARS2,PTCD1
AARS2,PTCD3
AARS2,QRSL1
AARS2,RARS2
AARS2,RBFA
AARS2,RPUSD4
AARS2,SARS2
AARS2,SCO1
AARS2,SCO2
AARS2,SLC25A26
AARS2,SSBP1
AARS2,SUPV3L1
AARS2,TARS2
AARS2,TFAM
AARS2,TFB1M
AARS2,TFB2M
AARS2,TIMMDC1
AARS2,TRMT10C
AARS2,TRUB2
AARS2,TWNK
AARS2,UQCRB
AARS2,UQCRC1
AARS2,UQCRC2
AARS2,VARS2
AARS2,WARS2
AARS2,YARS2
AARS2,YBEY
ABCD1,ACOX1
ABCD1,PEX6
ABL1,BCR
ACACA,FASN
ACAD9,ATP5F1B
ACAD9,BCS1L
ACAD9,CARS2
ACAD9,COA6
ACAD9,COA7
ACAD9,COQ2
ACAD9,COQ3
ACAD9,COQ4
ACAD9,COQ7
ACAD9,COX10
ACAD9,COX4I1
ACAD9,COX5B
ACAD9,COX6B1
ACAD9,COX6C
ACAD9,CYC1
ACAD9,DAP3
ACAD9,DARS2
ACAD9,DDX28
ACAD9,DMAC1
ACAD9,EARS2
ACAD9,ECSIT
ACAD9,FARS2
ACAD9,FASTKD5
ACAD9,FOXRED1
ACAD9,GATB
ACAD9,GFM1
ACAD9,GFM2
ACAD9,GRSF1
ACAD9,GTPBP10
ACAD9,GTPBP8
ACAD9,HCCS
ACAD9,HSD17B10
ACAD9,IBA57
ACAD9,ISCA2
ACAD9,LARS2
ACAD9,LRPPRC
ACAD9,MARS2
ACAD9,MCAT
ACAD9,MRM2
ACAD9,MRM3
ACAD9,MRPL13
ACAD9,MRPL17
ACAD9,MRPL18
ACAD9,MRPL20
ACAD9,MRPL21
ACAD9,MRPL23
ACAD9,MRPL32
ACAD9,MRPL39
ACAD9,MRPL41
ACAD9,MRPL43
ACAD9,MRPL46
ACAD9,MRPL47
ACAD9,MRPL57
ACAD9,MRPL9
ACAD9,MRPS11
ACAD9,MRPS12
ACAD9,MRPS16
ACAD9,MRPS17
ACAD9,MRPS18B
ACAD9,MRPS2
ACAD9,MRPS22
ACAD9,MRPS24
ACAD9,MRPS25
ACAD9,MRPS6
