Protein1,Protein2,Score,Experimental System Type
SEMA3F,NRP1,999,genetic
SEMA3F,NRP2,999,genetic
SEMA3F,PLXNA3,999,genetic
CYP51A1,LSS,999,genetic
USH1C,MYO7A,999,genetic
USH1C,CDH23,999,genetic
RALA,EXOC8,999,genetic
RALA,RALGDS,999,genetic
RALA,EXOC2,999,genetic
DVL2,AXIN1,999,genetic
RPAP3,PIH1D1,999,genetic
TRAPPC6A,TRAPPC2,999,genetic
TRAPPC6A,TRAPPC1,999,genetic
TRAPPC6A,TRAPPC4,999,genetic
TRAPPC6A,TRAPPC5,999,genetic
TRAPPC6A,TRAPPC3,999,genetic
CRY1,NPAS2,999,genetic
CRY1,CLOCK,999,genetic
CRY1,ARNTL,999,genetic
CRY1,PER3,999,genetic
CD74,CD44,999,genetic
CD4,CCR5,999,genetic
CD4,CD8A,999,genetic
COX15,COX10,999,genetic
SCTR,SCT,999,genetic
SLC7A9,SLC3A1,999,genetic
RB1CC1,BECN1,999,genetic
RB1CC1,CCPG1,999,genetic
RB1CC1,ATG16L1,999,genetic
RB1CC1,ATG14,999,genetic
RB1CC1,NRBF2,999,genetic
RB1CC1,CALCOCO2,999,genetic
RB1CC1,ATG101,999,genetic
RB1CC1,ATG13,999,genetic
PIGQ,PIGP,999,genetic
PIGQ,PIGH,999,genetic
PIGQ,PIGC,999,genetic
PIGQ,DPM2,999,genetic
PIGQ,PIGA,999,genetic
GABARAPL2,ATG12,999,genetic
GABARAPL2,ATG7,999,genetic
GABARAPL2,ATG5,999,genetic
GABARAPL2,ATG3,999,genetic
GABARAPL2,BNIP3L,999,genetic
GABARAPL2,ATG4B,999,genetic
OTC,ASS1,999,genetic
RTN4R,RTN4,999,genetic
RTN4R,MAG,999,genetic
PSMA4,POMP,999,genetic
PSMA4,PSMA3,999,genetic
PSMA4,PSMA1,999,genetic
PSMA4,PSMA2,999,genetic
LCP2,LAT,999,genetic
LCP2,ITK,999,genetic
LCP2,LCK,999,genetic
LCP2,GRAP2,999,genetic
LCP2,GRB2,999,genetic
LCP2,FYB1,999,genetic
LCP2,BTK,999,genetic
TNFRSF17,MZB1,999,genetic
MRPS10,MRPL36,999,genetic
MRPS10,DAP3,999,genetic
MRPS10,MRPL19,999,genetic
GUCA1A,GUCY2D,999,genetic
VAMP3,SNAP23,999,genetic
VAMP3,STX6,999,genetic
VAMP3,STX1A,999,genetic
VAMP3,SNAP25,999,genetic
VAMP3,STX4,999,genetic
VAMP3,STX3,999,genetic
RFC2,RFC1,999,genetic
RFC2,CHTF8,999,genetic
RFC2,DSCC1,999,genetic
RFC2,PCNA,999,genetic
RFC2,RAD17,999,genetic
RFC2,ATAD5,999,genetic
RFC2,CHTF18,999,genetic
PKP2,DSG2,999,genetic
PKP2,DSP,999,genetic
PKP2,DSC2,999,genetic
MRPS35,MRPS11,999,genetic
MRPS35,DAP3,999,genetic
MRPS35,MRPS10,999,genetic
MRPS35,MRPS15,999,genetic
MRPS35,MRPS14,999,genetic
ZFY,USP9Y,999,genetic
KCNQ1,KCNE2,999,genetic
KCNQ1,AKAP9,999,genetic
KCNQ1,KCNE3,999,genetic
KCNQ1,KCNE1,999,genetic
KCNQ1,CALM1,999,genetic
GPKOW,DHX16,999,genetic
PSMC4,PSMB2,999,genetic
PSMC4,PSMC1,999,genetic
PSMC4,PSMB3,999,genetic
PSMC4,PSMA6,999,genetic
PSMC4,PSMB1,999,genetic
PSMC4,PSMA5,999,genetic
PSMC4,PSMA4,999,genetic
PSMC4,PSMB4,999,genetic
PSMC4,PSMB5,999,genetic
PSMC4,ADRM1,999,genetic
PSMC4,PSMA1,999,genetic
PSMC4,PSMC3,999,genetic
PSMC4,PSMC2,999,genetic
PSMC4,PSMA2,999,genetic
NOX3,CYBA,999,genetic
ICAM3,CD209,999,genetic
TNFRSF1A,LTA,999,genetic
TNFRSF1A,BIRC2,999,genetic
