Protein1,Protein2,Score,Experimental System Type
CFTR,SLC9A3R1,999,physical
USH1C,USH1G,999,physical
RALA,EXOC2,999,physical
RALA,EXOC8,999,physical
DVL2,AXIN1,999,physical
RPAP3,RUVBL2,999,physical
RPAP3,PIH1D1,999,physical
RPAP3,RUVBL1,999,physical
CX3CL1,CX3CR1,999,physical
TRAPPC6A,TRAPPC2,999,physical
TRAPPC6A,TRAPPC5,999,physical
TRAPPC6A,TRAPPC4,999,physical
TRAPPC6A,TRAPPC1,999,physical
TRAPPC6A,TRAPPC3,999,physical
CRY1,PER2,999,physical
CD4,LCK,999,physical
CD4,CCR5,999,physical
ERCC1,ERCC4,999,physical
SCTR,SCT,999,physical
SLC7A9,SLC3A1,999,physical
RB1CC1,ULK1,999,physical
GABARAPL2,NBR1,999,physical
GABARAPL2,SQSTM1,999,physical
PSMA4,PSMB3,999,physical
PSMA4,PSMA3,999,physical
PSMA4,PSMA2,999,physical
PSMA4,PSMB2,999,physical
LCP2,NCK1,999,physical
LCP2,GRAP2,999,physical
TNFRSF17,TNFSF13B,999,physical
VAMP3,STX4,999,physical
VAMP3,SNAP23,999,physical
RFC2,RAD17,999,physical
RFC2,RFC4,999,physical
RFC2,RFC3,999,physical
RFC2,RFC1,999,physical
RFC2,RFC5,999,physical
RFC2,CHTF18,999,physical
KCNQ1,KCNE3,999,physical
KCNQ1,KCNE1,999,physical
AQR,PRPF19,999,physical
AQR,XAB2,999,physical
ICAM3,ITGAL,999,physical
TNFRSF1A,TNF,999,physical
TNFRSF1A,LTA,999,physical
TNFRSF1A,TRADD,999,physical
VASH1,SVBP,999,physical
KRT14,KRT5,999,physical
HSD17B10,PRORP,999,physical
HSD17B10,TRMT10C,999,physical
NGFR,NGF,999,physical
NTN1,NEO1,999,physical
NTN1,DCC,999,physical
SCT,SCTR,999,physical
CDK13,CCNK,999,physical
NDUFB4,MT-ND4,999,physical
NDUFB4,NDUFB11,999,physical
NDUFB4,NDUFB10,999,physical
OSTM1,CLCN7,999,physical
HSPB11,IFT27,999,physical
RBM22,SNW1,999,physical
ZW10,RINT1,999,physical
ZW10,ZWILCH,999,physical
ZW10,KNTC1,999,physical
ITGB4,ITGA6,999,physical
ITGB4,PLEC,999,physical
TRMT6,TRMT61A,999,physical
UQCRC1,UQCRFS1,999,physical
UQCRC1,UQCR11,999,physical
UQCRC1,UQCRB,999,physical
UQCRC1,UQCRQ,999,physical
UQCRC1,UQCR10,999,physical
UQCRC1,UQCRC2,999,physical
UQCRC1,UQCRH,999,physical
DLD,DLST,999,physical
DLD,OGDH,999,physical
DLD,PDHX,999,physical
HAUS4,HAUS1,999,physical
